ID;Lat;Lon;UTM X (m);UTM Y (m);Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;Remarks
2918;-1.6434036;101.1426758;738384.609;9818226.145;887.67;-887.67;2023;6;6;1;54;37.4799995;0.0024442;WCC
2919;-1.6436864;101.1511719;739330.26;9818193.848;731.49;-731.49;2023;6;6;1;54;44.1199989;0.0025876;WCC
2920;-1.6388357;101.1488815;739075.893;9818730.655;1487.216;-1487.216;2023;6;6;1;54;53.202353;0.006525;Initial
2921;-1.6468089;101.1269938;736638.689;9817851.36;-327.4;327.4;2023;6;6;1;55;12.25;0.0011948;WCC
2922;-1.6410905;101.140804;738176.538;9818482.218;902.76;-902.76;2023;6;6;1;55;25.7800007;0.0033439;WCC
2923;-1.6429373;101.1402344;738112.918;9818278.014;657.61;-657.61;2023;6;6;1;55;44.5699997;0.0025538;WCC
2924;-1.6401559;101.1455485;738704.749;9818585.027;831.22;-831.22;2023;6;6;1;55;52.5;0.0024572;WCC
2925;-1.6435365;101.1392904;738007.773;9818211.85;852.44;-852.44;2023;6;6;1;56;1.1;0.0023918;WCC
2926;-1.643292;101.1431559;738438.062;9818238.432;936.95;-936.95;2023;6;6;1;56;8.25;0.0025709;WCC
2927;-1.6525172;101.1312744;737114.471;9817219.468;-1252.97;1252.97;2023;6;6;1;56;16.75;0.0720266;Reloc
2928;-1.6424582;101.1405273;738145.577;9818330.971;797.81;-797.81;2023;6;6;1;56;29.0300007;0.0030951;WCC
2929;-1.6483069;101.1286865;736826.921;9817685.468;-244.54;244.54;2023;6;6;1;56;36.7799988;0.0026854;WCC
2930;-1.6414352;101.1453532;738682.859;9818443.548;852.29;-852.29;2023;6;6;1;57;14.1999998;0.0030385;WCC
2931;-1.6423784;101.1440755;738540.529;9818339.374;777.38;-777.38;2023;6;6;1;57;25.5499992;0.0026824;WCC
2932;-1.6407714;101.139681;738051.577;9818517.647;921.42;-921.42;2023;6;6;1;57;28.8999996;0.0030829;WCC
2933;-1.6419828;101.1440755;738540.576;9818383.131;671.25;-671.25;2023;6;6;1;57;37.6500015;0.0029761;WCC
2934;-1.641836;101.1447021;738610.339;9818399.294;1014.48;-1014.48;2023;6;6;1;57;45.3199997;0.0029215;WCC
2935;-1.6392048;101.147404;738911.394;9818690.005;862.76;-862.76;2023;6;6;1;58;3.46;0.0027892;WCC
2936;-1.6402278;101.1433268;738457.447;9818577.339;867.78;-867.78;2023;6;6;1;58;51.3300018;0.0021198;WCC
2937;-1.6440894;101.1442627;738561.162;9818150.1;712.2;-712.2;2023;6;6;1;59;4.8800001;0.0031672;WCC
